   	      	                          fitness                          	                      size                     
   	      	-----------------------------------------------------------	-----------------------------------------------
gen	nevals	avg   	gen	max        	min    	nevals	std        	avg 	gen	max	min	nevals	std    
0  	100   	219794	0  	1.58143e+07	9.93127	100   	1.63931e+06	6.87	0  	48 	1  	100   	8.42337
1  	100   	6636.67	1  	497260     	9.93127	100   	51499.6    	10.23	1  	48 	1  	100   	9.63728
2  	100   	81.9997	2  	497.008    	9.93127	100   	81.8939    	10.38	2  	48 	1  	100   	10.8478
3  	100   	1.40769e+06	3  	1.12505e+08	9.93127	100   	1.15135e+07	9.4  	3  	48 	1  	100   	10.4929
4  	100   	9.39686e+29	4  	9.39686e+31	9.93127	100   	9.34975e+30	9.14 	4  	48 	1  	100   	10.1607
5  	100   	2194.11    	5  	210940     	9.93127	100   	20980.2    	9.03 	5  	48 	1  	100   	10.2961
6  	100   	186.631    	6  	10915      	9.93127	100   	1082.82    	9.19 	6  	51 	1  	100   	10.5373
7  	100   	6.72289e+06	7  	6.28428e+08	9.93127	100   	6.26359e+07	9.26 	7  	51 	1  	100   	10.4782
8  	100   	3.54831e+21	8  	3.54831e+23	9.93127	100   	3.53053e+22	7.5  	8  	51 	1  	100   	9.06256
9  	100   	415.412    	9  	17205.8    	9.93127	100   	2088.31    	8.12 	9  	51 	1  	100   	9.53654
10 	100   	97.1001    	10 	1702.28    	9.93127	100   	197.958    	8.45 	10 	51 	1  	100   	10.296 
11 	100   	141.722    	11 	3706.84    	9.93127	100   	511.37     	9.44 	11 	51 	1  	100   	10.9127
12 	100   	2181.36    	12 	211884     	9.93127	100   	21076      	9.48 	12 	47 	1  	100   	10.4637
13 	100   	352.092    	13 	17546.4    	9.93127	100   	2038.92    	9.6  	13 	47 	1  	100   	10.7452
14 	100   	80.1066    	14 	1975.37    	9.93127	100   	200.684    	9.84 	14 	46 	1  	100   	10.4611
15 	100   	2217.45    	15 	202773     	9.93127	100   	20185.9    	9.2  	15 	39 	1  	100   	9.19783
16 	100   	2.9568e+12 	16 	2.9568e+14 	9.93127	100   	2.94198e+13	8.84 	16 	39 	1  	100   	8.80763
17 	100   	2.05894e+09	17 	2.05893e+11	9.93127	100   	2.04861e+10	9.12 	17 	39 	1  	100   	8.773  
18 	100   	1.39524e+06	18 	1.39508e+08	9.93127	100   	1.38808e+07	9.16 	18 	41 	1  	100   	9.46543
19 	100   	1.09717e+06	19 	1.09687e+08	9.03528	100   	1.09137e+07	8.43 	19 	41 	1  	100   	8.81959
20 	100   	736.435    	20 	28617.4    	9.03528	100   	3914.31    	8.79 	20 	46 	1  	100   	9.08768
21 	100   	3.73634e+10	21 	3.73634e+12	9.03528	100   	3.71761e+11	8.61 	21 	36 	1  	100   	8.67513
22 	100   	183.6      	22 	8335.51    	9.03528	100   	859.731    	8.53 	22 	38 	1  	100   	8.655  
23 	100   	7.39184e+11	23 	7.39184e+13	9.03528	100   	7.35478e+12	8.38 	23 	33 	1  	100   	7.85847
24 	100   	335.315    	24 	13483.9    	9.03528	100   	1859.03    	8.3  	24 	45 	1  	100   	8.31204
25 	100   	2.9568e+12 	25 	2.9568e+14 	9.03528	100   	2.94198e+13	8.09 	25 	33 	1  	100   	7.79627
26 	100   	106.588    	26 	2267.93    	9.03528	100   	265.153    	8.14 	26 	38 	1  	100   	8.10434
27 	100   	10920.5    	27 	1.07568e+06	9.03528	100   	107017     	9.29 	27 	48 	1  	100   	9.05682
28 	100   	665.309    	28 	54660.1    	9.03528	100   	5442.03    	8.46 	28 	32 	1  	100   	7.72712
29 	100   	1.1266e+06 	29 	1.12641e+08	9.03528	100   	1.12076e+07	8.8  	29 	37 	1  	100   	8.35703
30 	100   	237.557    	30 	13509      	9.03528	100   	1366.47    	9.08 	30 	34 	1  	100   	8.33148
31 	100   	271.925    	31 	20981.2    	9.03528	100   	2083.49    	8.68 	31 	32 	1  	100   	8.13004
32 	100   	1.04425e+06	32 	1.03228e+08	9.03528	100   	1.02705e+07	9.15 	32 	71 	1  	100   	9.82993
33 	100   	2.95673e+12	33 	2.95673e+14	9.03528	100   	2.94191e+13	9.03 	33 	53 	1  	100   	8.8797 
34 	100   	498.852    	34 	38964.1    	9.03528	100   	3882.25    	8.7  	34 	32 	1  	100   	7.64264
35 	100   	12816.1    	35 	1.23312e+06	9.03528	100   	122713     	8.92 	35 	45 	1  	100   	8.15313
36 	100   	203588     	36 	2.03522e+07	9.03528	100   	2.02501e+06	9.17 	36 	46 	1  	100   	9.06648
37 	100   	1.46373e+11	37 	1.46373e+13	9.03528	100   	1.45639e+12	9.82 	37 	45 	1  	100   	9.72356
38 	100   	1.46373e+11	38 	1.46373e+13	9.03528	100   	1.45639e+12	9.31 	38 	70 	1  	100   	10.0575
39 	100   	1.46373e+11	39 	1.46373e+13	9.03528	100   	1.45639e+12	9.27 	39 	45 	1  	100   	8.96086
40 	100   	4924.64    	40 	483046     	9.03528	100   	48053.8    	9.65 	40 	44 	1  	100   	9.49566
41 	100   	598.979    	41 	54797.8    	9.03528	100   	5447.44    	9.59 	41 	54 	1  	100   	9.89151
42 	100   	203586     	42 	2.03522e+07	9.03528	100   	2.02501e+06	9.18 	42 	37 	1  	100   	8.00047
43 	100   	156.594    	43 	9739.42    	9.03528	100   	966.892    	9.25 	43 	37 	1  	100   	8.30828
44 	100   	3088.9     	44 	281884     	9.03528	100   	28044.5    	9.76 	44 	53 	1  	100   	9.59804
45 	100   	3642.17    	45 	354813     	9.03528	100   	35295.8    	9.09 	45 	37 	1  	100   	8.64187
46 	100   	117.871    	46 	5374.32    	9.03528	100   	538.001    	9.02 	46 	36 	1  	100   	8.28973
47 	100   	2.9568e+12 	47 	2.9568e+14 	9.03528	100   	2.94198e+13	8.87 	47 	30 	1  	100   	7.89386
48 	100   	1375.67    	48 	75029.7    	9.03528	100   	9280.89    	8.88 	48 	32 	1  	100   	7.925  
49 	100   	156.699    	49 	9739.42    	9.03528	100   	966.263    	9.04 	49 	32 	1  	100   	8.08322
50 	100   	4893.66    	50 	483046     	9.03528	100   	48056.2    	9.02 	50 	42 	1  	100   	8.50997
51 	100   	3.14244e+06	51 	3.14214e+08	9.03528	100   	3.12639e+07	9.28 	51 	36 	1  	100   	8.28382
52 	100   	2.42357e+08	52 	2.42347e+10	9.03528	100   	2.41132e+09	9.12 	52 	29 	1  	100   	7.61089
53 	100   	216.206    	53 	12363.3    	9.03528	100   	1253.76    	8.54 	53 	36 	1  	100   	7.48788
54 	100   	3.28105e+06	54 	3.27615e+08	9.03528	100   	3.25968e+07	8.54 	54 	34 	1  	100   	7.61764
55 	100   	150.456    	55 	5374.32    	9.03528	100   	602.666    	8.94 	55 	33 	1  	100   	8.04714
56 	100   	62.0438    	56 	723.619    	9.03528	100   	89.4844    	8.9  	56 	34 	1  	100   	8.02185
57 	100   	5002.58    	57 	483046     	9.03528	100   	48048.6    	8.63 	57 	32 	1  	100   	7.89133
58 	100   	555.381    	58 	35234      	9.03528	100   	3635.33    	8.82 	58 	35 	1  	100   	8.26968
59 	100   	512.293    	59 	35233.5    	9.03528	100   	3651.24    	8.31 	59 	35 	1  	100   	7.57059
60 	100   	65.3612    	60 	1371.15    	9.03528	100   	150.571    	7.97 	60 	33 	1  	100   	6.64448
61 	100   	3712.73    	61 	351360     	9.03528	100   	34962.8    	8.07 	61 	29 	1  	100   	6.5563 
62 	100   	1.95955e+09	62 	1.95955e+11	9.03528	100   	1.94972e+10	8.08 	62 	32 	1  	100   	7.08051
63 	100   	7174.14    	63 	708580     	9.03528	100   	70494.3    	8    	63 	34 	1  	100   	7.16101
64 	100   	8060.54    	64 	799126     	9.03528	100   	79505.2    	8.99 	64 	40 	1  	100   	8.06411
65 	100   	110.637    	65 	3598.48    	9.03528	100   	418.886    	8.53 	65 	28 	1  	100   	6.90138
66 	100   	2.03306e+06	66 	2.03249e+08	9.03528	100   	2.0223e+07 	8.29 	66 	32 	1  	100   	7.18929
67 	100   	421.566    	67 	35234      	9.03528	100   	3501.03    	8.44 	67 	31 	1  	100   	7.08424
68 	100   	1.94198e+08	68 	1.94198e+10	9.03528	100   	1.93224e+09	8.11 	68 	27 	1  	100   	6.54048
69 	100   	129.115    	69 	3598.48    	9.03528	100   	435.49     	8.25 	69 	30 	1  	100   	6.62929
70 	100   	81.3215    	70 	2371.84    	9.03528	100   	244.073    	8.22 	70 	34 	1  	100   	6.83751
71 	100   	2113.35    	71 	203878     	9.03528	100   	20278.8    	7.81 	71 	27 	1  	100   	6.36191
72 	100   	1069.5     	72 	82885.4    	9.03528	100   	8337.79    	8.07 	72 	27 	1  	100   	6.43623
73 	100   	1180.89    	73 	42177.1    	9.03528	100   	6144.72    	7.87 	73 	29 	1  	100   	6.77592
74 	100   	65.2119    	74 	723.619    	9.03528	100   	108.682    	8.16 	74 	28 	1  	100   	7.10594
75 	100   	3.3567e+06 	75 	3.28564e+08	9.03528	100   	3.26922e+07	8.52 	75 	28 	1  	100   	7.04483
76 	100   	1091.81    	76 	66050.6    	9.03528	100   	7037.82    	8.75 	76 	33 	1  	100   	7.70633
77 	100   	182990     	77 	1.82869e+07	9.03528	100   	1.81951e+06	8.63 	77 	34 	1  	100   	7.70799
78 	100   	102.839    	78 	2752.31    	9.03528	100   	331.916    	8.39 	78 	32 	1  	100   	7.61695
79 	100   	280.513    	79 	19532.1    	9.03528	100   	1946.3     	9.03 	79 	49 	1  	100   	8.74923
80 	100   	278.253    	80 	21436.1    	9.03528	100   	2129.23    	8.91 	80 	53 	1  	100   	9.15871
81 	100   	269.255    	81 	9151.3     	9.03528	100   	1192.07    	9.88 	81 	53 	1  	100   	10.6914
82 	100   	441702     	82 	4.41384e+07	9.03528	100   	4.39169e+06	9.73 	82 	49 	1  	100   	10.37  
83 	100   	103.324    	83 	2752.31    	9.03528	100   	310.455    	9.56 	83 	56 	1  	100   	10.8142
84 	100   	468.288    	84 	36512.8    	9.03528	100   	3640.89    	10.24	84 	56 	1  	100   	11.3165
85 	100   	105.549    	85 	3598.48    	9.03528	100   	418.597    	9.83 	85 	56 	1  	100   	10.1775
86 	100   	132.716    	86 	4977.04    	9.03528	100   	561.359    	9.54 	86 	52 	1  	100   	9.76977
87 	100   	64.6172    	87 	877.754    	9.03528	100   	113.881    	9.62 	87 	52 	1  	100   	10.6553
88 	100   	477.004    	88 	42177.1    	9.03528	100   	4191.75    	9.4  	88 	49 	1  	100   	10.2049
89 	100   	62.4978    	89 	842.5      	9.03528	100   	110.071    	9.44 	89 	54 	1  	100   	10.7883
90 	100   	27830.6    	90 	2.77786e+06	9.03528	100   	276388     	9.5  	90 	54 	1  	100   	10.7531
91 	100   	519.982    	91 	44881      	9.03528	100   	4459.95    	10.54	91 	52 	1  	100   	11.2423
92 	100   	263.686    	92 	16997.3    	9.03528	100   	1716.04    	9.32 	92 	49 	1  	100   	10.705 
93 	100   	65.5465    	93 	723.619    	9.03528	100   	107.557    	9.86 	93 	83 	1  	100   	13.0277
94 	100   	182948     	94 	1.82869e+07	9.03528	100   	1.81952e+06	9.32 	94 	53 	1  	100   	10.7321
95 	100   	64.041     	95 	701.312    	9.03528	100   	101.899    	9.16 	95 	50 	1  	100   	10.5297
96 	100   	2.06107e+09	96 	2.06107e+11	9.03528	100   	2.05074e+10	9.5  	96 	56 	1  	100   	11.0585
97 	100   	756.455    	97 	67989.2    	9.03528	100   	6759.63    	9.36 	97 	57 	1  	100   	11.2103
98 	100   	2352.11    	98 	184061     	9.03528	100   	18799.2    	9.56 	98 	58 	1  	100   	11.0447
99 	100   	67.3034    	99 	2311.25    	9.03528	100   	227.784    	9.38 	99 	49 	1  	100   	10.7487
100	100   	7847.09    	100	777160     	9.03528	100   	77319.1    	9.69 	100	51 	1  	100   	10.8791
   	      	                             fitness                              	                      size                     
   	      	------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg        	gen	max        	min    	nevals	std       	avg 	gen	max	min	nevals	std    
0  	100   	9.06653e+07	0  	8.34371e+09	9.32802	100   	8.3117e+08	6.54	0  	34 	1  	100   	6.48293
1  	100   	203.214    	1  	5585.9     	9.32802	100   	592.157   	8.38	1  	35 	1  	100   	7.39024
2  	100   	1.01308e+10	2  	1.01308e+12	9.32802	100   	1.008e+11 	8.79	2  	35 	1  	100   	8.24293
3  	100   	93.1219    	3  	291.989    	9.32802	100   	85.6689   	9   	3  	35 	1  	100   	7.69155
4  	100   	120.99     	4  	3315.49    	9.32802	100   	331.168   	9.37	4  	37 	1  	100   	8.2688 
5  	100   	17120      	5  	1.70352e+06	9.32802	100   	169489    	9.04	5  	35 	1  	100   	8.01239
6  	100   	123.838    	6  	3978.59    	9.32802	100   	396.059   	8.56	6  	29 	1  	100   	6.98616
7  	100   	4246.93    	7  	413200     	9.32802	100   	41102.9   	8.25	7  	31 	1  	100   	7.15315
8  	100   	64.8795    	8  	167.28     	9.32802	100   	43.2733   	8.26	8  	46 	1  	100   	7.90015
9  	100   	12060.4    	9  	1.19975e+06	9.32802	100   	119368    	7.89	9  	46 	1  	100   	7.29369
10 	100   	80.066     	10 	697.75     	9.32802	100   	100.649   	7.46	10 	46 	1  	100   	7.30811
11 	100   	68.8453    	11 	335.707    	8.96847	100   	57.5109   	7.74	11 	46 	1  	100   	8.11372
12 	100   	171.061    	12 	10633.8    	8.96847	100   	1052.54   	7.3 	12 	46 	1  	100   	7.5743 
13 	100   	32367.7    	13 	3.2294e+06 	8.96847	100   	321314    	7.3 	13 	44 	1  	100   	7.50133
14 	100   	198.589    	14 	13070.5    	8.81696	100   	1294.81   	7.25	14 	44 	1  	100   	7.16572
15 	100   	80.8235    	15 	902.531    	8.81696	100   	123.874   	7.07	15 	31 	1  	100   	6.37378
