True
True
   	      	                              fitness                              	                      size                     
   	      	-------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg        	gen	max        	min    	nevals	std        	avg 	gen	max	min	nevals	std    
0  	100   	2.66207e+19	0  	2.48607e+21	1.34182	100   	2.47804e+20	4.21	0  	12 	2  	100   	2.27726
1  	100   	13105      	1  	1.29535e+06	1.00216	100   	128876     	4.02	1  	12 	1  	100   	2.50591
2  	100   	492268     	2  	4.92235e+07	0.848482	100   	4.89767e+06	4.19	2  	12 	1  	100   	2.55223
3  	100   	35.1825    	3  	1809.56    	0.484351	100   	179.247    	4.93	3  	10 	1  	100   	2.23721
4  	100   	31.6302    	4  	1856.1     	0.484351	100   	184.511    	5.32	4  	15 	1  	100   	2.64908
5  	100   	8.18936    	5  	110.25     	0.484351	100   	11.9376    	6.36	5  	11 	2  	100   	2.25619
6  	100   	7.38433    	6  	102.206    	0.484351	100   	11.77      	6.56	6  	13 	1  	100   	2.71411
7  	100   	5.21052    	7  	37.5727    	0.484351	100   	5.40206    	7.3 	7  	13 	1  	100   	2.5318 
8  	100   	9.14766    	8  	132.702    	0.484351	100   	21.6557    	6.76	8  	13 	1  	100   	2.69117
9  	100   	5.41579    	9  	25.0012    	0.484351	100   	6.4592     	7.16	9  	16 	2  	100   	2.98905
10 	100   	61.1739    	10 	5191.38    	0.484351	100   	517.577    	7.36	10 	16 	1  	100   	2.80542
11 	100   	26194.2    	11 	2.5974e+06 	0.484351	100   	258420     	7.24	11 	17 	2  	100   	2.87444
12 	100   	977.78     	12 	61078.5    	0.475883	100   	6841.23    	7.46	12 	17 	2  	100   	2.93401
13 	100   	131.303    	13 	12459.3    	0.475883	100   	1239.16    	7.44	13 	18 	2  	100   	3.26901
14 	100   	38865.6    	14 	3.88606e+06	0.475883	100   	386658     	7.43	14 	16 	2  	100   	3.07654
15 	100   	2.66788e+18	15 	2.66788e+20	0.475883	100   	2.65451e+19	7.58	15 	16 	2  	100   	3.56982
16 	100   	9.71678e+11	16 	9.71678e+13	0.469344	100   	9.66807e+12	7.38	16 	19 	1  	100   	3.69805
17 	100   	34.449     	17 	2076.55    	0.463264	100   	229.883    	8.27	17 	19 	2  	100   	3.67656
18 	100   	36.0054    	18 	3114.83    	0.45921 	100   	309.529    	8.24	18 	21 	1  	100   	4.23349
19 	100   	1.76669e+11	19 	1.76669e+13	0.45921 	100   	1.75783e+12	8.12	19 	24 	1  	100   	4.22914
20 	100   	4.50572    	20 	118.748    	0.45921 	100   	12.5441    	8.48	20 	24 	1  	100   	4.03356
21 	100   	2.60013    	21 	20.7454    	0.456973	100   	3.7152     	8.3 	21 	16 	2  	100   	3.52278
22 	100   	2.38993    	22 	49.3936    	0.456973	100   	5.41087    	8.49	22 	24 	1  	100   	3.64827
23 	100   	1.76053    	23 	15.0474    	0.451985	100   	2.31538    	8.82	23 	24 	2  	100   	3.68342
24 	100   	99.7855    	24 	2076.56    	0.451985	100   	429.596    	9.24	24 	18 	2  	100   	3.11808
25 	100   	3763.3     	25 	368657     	0.451985	100   	36675.1    	10.28	25 	17 	2  	100   	2.66113
26 	100   	828.158    	26 	70562.5    	0.451985	100   	7048.65    	10.16	26 	17 	3  	100   	2.40716
27 	100   	83.9701    	27 	2076.56    	0.451985	100   	406.735    	10.22	27 	17 	2  	100   	2.27851
28 	100   	104.601    	28 	2076.56    	0.451978	100   	452.398    	10.3 	28 	16 	2  	100   	1.83576
29 	100   	63.4752    	29 	2076.56    	0.451978	100   	354.029    	10.44	29 	17 	2  	100   	2.48725
30 	100   	39066      	30 	3.88606e+06	0.451978	100   	386638     	10.64	30 	15 	4  	100   	2.06649
31 	100   	156.83     	31 	2076.56    	0.451978	100   	536.688    	10.51	31 	15 	2  	100   	2.13305
