True
True
   	      	                              fitness                              	                      size                     
   	      	-------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg        	gen	max        	min    	nevals	std        	avg 	gen	max	min	nevals	std    
0  	100   	2.81331e+08	0  	2.09959e+10	11.4438	100   	2.19925e+09	4.13	0  	11 	2  	100   	1.87433
1  	100   	1.49283e+07	1  	1.49268e+09	10.8252	100   	1.4852e+08 	3.88	1  	13 	1  	100   	2.46284
2  	100   	433.31     	2  	6529.71    	10.1379	100   	721.421    	3.97	2  	13 	1  	100   	2.74392
3  	100   	1.7322e+07 	3  	1.67299e+09	10.1379	100   	1.66502e+08	5.2 	3  	13 	1  	100   	3.00998
4  	100   	675.201    	4  	19678.9    	10.0451	100   	2869.75    	5.98	4  	16 	2  	100   	3.40288
5  	100   	7.5021e+08 	5  	7.50021e+10	10.0451	100   	7.4626e+09 	8.03	5  	16 	2  	100   	3.15739
6  	100   	3271.53    	6  	215221     	9.78541	100   	23837.9    	8.3 	6  	19 	2  	100   	3.36006
7  	100   	748647     	7  	7.4634e+07 	9.78541	100   	7.42579e+06	8.6 	7  	17 	1  	100   	3.20936
8  	100   	47.959     	8  	1082.68    	9.78541	100   	122.747    	8.73	8  	20 	2  	100   	3.33723
9  	100   	55.8811    	9  	1005.99    	9.63044	100   	134.485    	8.22	9  	19 	1  	100   	3.25447
10 	100   	2233.82    	10 	215221     	9.63044	100   	21407.8    	8.97	10 	17 	2  	100   	3.41601
11 	100   	4374.61    	11 	215221     	9.63044	100   	30122.1    	9.47	11 	20 	2  	100   	3.59571
12 	100   	32.7294    	12 	251.498    	9.63044	100   	42.8456    	10.06	12 	19 	2  	100   	3.92892
13 	100   	47.5537    	13 	1305.83    	9.35979	100   	145.07     	11.17	13 	19 	2  	100   	3.66348
14 	100   	28.5009    	14 	105.15     	9.34738	100   	26.3774    	11.14	14 	22 	1  	100   	4.23325
15 	100   	100.997    	15 	5422.63    	9.26577	100   	561.256    	12.85	15 	22 	2  	100   	4.36892
16 	100   	21.1442    	16 	124.776    	9.24415	100   	19.179     	14.24	16 	26 	2  	100   	4.45448
17 	100   	26.9592    	17 	215.174    	9.24415	100   	30.3972    	13.99	17 	22 	3  	100   	4.34165
18 	100   	19.4981    	18 	74.521     	8.92974	100   	15.9151    	14.99	18 	22 	3  	100   	3.82491
19 	100   	70.9697    	19 	4744.8     	8.92974	100   	470.768    	15.54	19 	25 	7  	100   	3.93553
20 	100   	42.9317    	20 	2033.49    	8.90163	100   	208.664    	16.15	20 	25 	3  	100   	3.5139 
21 	100   	36.8483    	21 	1355.66    	8.90163	100   	139.408    	16.07	21 	22 	2  	100   	3.28711
22 	100   	32.8205    	22 	1400.06    	8.82899	100   	139.175    	16.61	22 	22 	7  	100   	2.47748
23 	100   	53.7347    	23 	2102.39    	8.82898	100   	246.624    	17.09	23 	23 	7  	100   	2.6985 
24 	100   	40.1499    	24 	2033.49    	8.82898	100   	201.983    	17.75	24 	27 	3  	100   	3.92779
25 	100   	37.7352    	25 	1355.66    	8.82898	100   	143.567    	18.83	25 	27 	7  	100   	3.02673
26 	100   	24.7604    	26 	652.971    	8.82898	100   	66.7686    	18.85	26 	27 	1  	100   	3.89455
27 	100   	21.4344    	27 	643.952    	8.82898	100   	63.2415    	19.3 	27 	27 	7  	100   	3.26956
28 	100   	14.8871    	28 	58.8018    	8.82898	100   	8.40459    	19.83	28 	27 	5  	100   	3.20642
29 	100   	19.5706    	29 	367.619    	8.72715	100   	36.6859    	20.13	29 	29 	6  	100   	3.81747
30 	100   	384.598    	30 	35636.1    	8.72715	100   	3545.41    	20.93	30 	29 	4  	100   	4.56345
31 	100   	395.883    	31 	36736.4    	8.69549	100   	3654.94    	22.05	31 	29 	16 	100   	3.42746
32 	100   	14.2663    	32 	54.6559    	8.67717	100   	7.35504    	23.39	32 	34 	16 	100   	3.6108 
33 	100   	9473.02    	33 	945253     	8.67291	100   	94049.5    	23.33	33 	31 	8  	100   	4.28499
34 	100   	13.9867    	34 	73.7461    	8.6729 	100   	7.60507    	23.13	34 	31 	14 	100   	3.42244
35 	100   	14.0725    	35 	54.0128    	8.48409	100   	7.31815    	23.96	35 	31 	14 	100   	3.23085
36 	100   	13.8044    	36 	52.4676    	8.48409	100   	6.13938    	21.98	36 	31 	10 	100   	4.91117
37 	100   	16.6161    	37 	235.324    	8.48409	100   	23.4703    	21.67	37 	31 	8  	100   	5.318  
38 	100   	6.78521e+06	38 	6.78519e+08	8.48409	100   	6.75118e+07	21.36	38 	31 	11 	100   	5.201  
39 	100   	16.6928    	39 	61.0747    	8.48409	100   	12.5706    	19.95	39 	30 	1  	100   	5.79202
40 	100   	2619.1     	40 	258268     	8.48409	100   	25694.3    	19.84	40 	31 	3  	100   	5.91561
41 	100   	18.8403    	41 	235.324    	8.47087	100   	25.611     	19.19	41 	31 	3  	100   	5.55643
42 	100   	30412.2    	42 	3.03973e+06	8.47087	100   	302448     	22.81	42 	34 	7  	100   	5.38831
43 	100   	25.3706    	43 	644.007    	8.32532	100   	74.3634    	24.15	43 	33 	7  	100   	5.09191
44 	100   	2.11212e+10	44 	2.11212e+12	8.32073	100   	2.10154e+11	23.15	44 	34 	6  	100   	5.37471
45 	100   	17.7911    	45 	359.525    	8.32068	100   	35.4762    	23.62	45 	32 	9  	100   	4.80162
46 	100   	16.7152    	46 	200.313    	8.32068	100   	21.1762    	25.26	46 	37 	11 	100   	5.38632
47 	100   	14.7112    	47 	61.2341    	8.32068	100   	9.33406    	25.63	47 	33 	14 	100   	5.22428
48 	100   	21.5243    	48 	644.484    	8.31954	100   	63.6413    	25.21	48 	33 	9  	100   	5.46131
49 	100   	17.1326    	49 	359.528    	8.26264	100   	35.1471    	25.8 	49 	34 	14 	100   	4.76235
50 	100   	13.4284    	50 	56.0139    	8.26264	100   	6.33494    	26.32	50 	40 	14 	100   	4.51858
51 	100   	14.6615    	51 	54.9381    	8.26264	100   	9.5983     	26.6 	51 	35 	7  	100   	4.4    
52 	100   	14.9552    	52 	92.884     	8.12987	100   	11.7447    	26.67	52 	34 	9  	100   	4.34063
53 	100   	25.3697    	53 	125.631    	8.12519	100   	34.5023    	25.13	53 	34 	3  	100   	5.64208
54 	100   	49.2742    	54 	1671.39    	8.12399	100   	170.467    	25.29	54 	34 	10 	100   	5.27503
55 	100   	35.7795    	55 	457.66     	8.12399	100   	66.5174    	24.86	55 	41 	1  	100   	6.25623
56 	100   	51.1207    	56 	1703.33    	8.12399	100   	173.018    	25.42	56 	37 	9  	100   	5.99697
57 	100   	9483.12    	57 	945253     	8.12399	100   	94048.4    	24.9 	57 	37 	3  	100   	6.31585
58 	100   	69.0734    	58 	1355.66    	8.12399	100   	172.457    	24.77	58 	37 	7  	100   	5.63357
59 	100   	49.1089    	59 	575.429    	8.12399	100   	101.376    	25.29	59 	37 	5  	100   	5.19672
60 	100   	51.0083    	60 	567.212    	8.12399	100   	85.8967    	24.85	60 	37 	13 	100   	5.30354
61 	100   	55.4266    	61 	623.094    	8.12399	100   	94.984     	23.92	61 	37 	1  	100   	5.78737
62 	100   	38.543     	62 	485.811    	8.12399	100   	73.0474    	25.15	62 	37 	12 	100   	4.67627
63 	100   	50.7575    	63 	634.799    	8.12251	100   	87.7632    	24.24	63 	37 	8  	100   	5.23473
64 	100   	47.9773    	64 	502.907    	8.12251	100   	85.7598    	24.75	64 	32 	8  	100   	4.69761
65 	100   	40.6225    	65 	433.313    	8.12251	100   	70.9524    	24.01	65 	31 	9  	100   	5.05073
66 	100   	250801     	66 	2.50754e+07	8.12251	100   	2.49497e+06	24.49	66 	35 	9  	100   	4.92442
67 	100   	26.2089    	67 	266.407    	8.12251	100   	34.9079    	24.14	67 	31 	2  	100   	5.4663 
68 	100   	40.4884    	68 	260.184    	8.12251	100   	56.3273    	23.95	68 	32 	3  	100   	5.14466
69 	100   	25.8167    	69 	322.447    	8.12251	100   	39.2926    	24.44	69 	35 	7  	100   	4.99464
70 	100   	51.7264    	70 	483.049    	8.10822	100   	76.4247    	23.25	70 	31 	3  	100   	5.05247
71 	100   	1.92132e+06	71 	1.92128e+08	8.10822	100   	1.91165e+07	24.42	71 	34 	7  	100   	4.82531
72 	100   	54.6408    	72 	1355.66    	8.10822	100   	141.819    	23.95	72 	32 	7  	100   	4.59429
73 	100   	9.40495e+20	73 	9.40495e+22	8.10822	100   	9.3578e+21 	23.76	73 	33 	7  	100   	4.71618
74 	100   	41.9127    	74 	699.182    	8.10822	100   	85.797     	24.5 	74 	34 	8  	100   	4.79687
75 	100   	61.0999    	75 	939.079    	8.10822	100   	133.739    	23.97	75 	31 	10 	100   	4.77379
76 	100   	5402.37    	76 	536069     	8.01533	100   	53334.1    	23.95	76 	34 	2  	100   	5.37285
77 	100   	37.1233    	77 	426.563    	8.01533	100   	60.676     	25.93	77 	37 	11 	100   	4.70373
78 	100   	33.2182    	78 	400.786    	8.01533	100   	52.753     	24.74	78 	34 	4  	100   	5.05098
79 	100   	46.6417    	79 	476.07     	8.01533	100   	89.4681    	25.61	79 	35 	14 	100   	4.0593 
80 	100   	60.5391    	80 	788.202    	7.98859	100   	102.845    	24.23	80 	34 	1  	100   	6.05616
81 	100   	35.5409    	81 	496.712    	7.95796	100   	65.5808    	26.77	81 	41 	8  	100   	5.5711 
82 	100   	58.3034    	82 	2102.63    	7.93909	100   	215.62     	26.76	82 	43 	2  	100   	6.19212
83 	100   	66.1214    	83 	1342.46    	7.93506	100   	166.815    	26.28	83 	37 	3  	100   	6.35465
84 	100   	39.09      	84 	154.696    	7.93394	100   	48.3018    	26.86	84 	43 	13 	100   	6.56509
85 	100   	165.952    	85 	9393.37    	7.93394	100   	953.9      	25.59	85 	37 	8  	100   	5.16739
86 	100   	139.76     	86 	10515.4    	7.93394	100   	1044.39    	25.39	86 	37 	9  	100   	5.2343 
87 	100   	57.8319    	87 	1753.65    	7.93394	100   	187.484    	26.5 	87 	40 	14 	100   	4.43283
88 	100   	61.2505    	88 	2744.44    	7.93394	100   	276.915    	25.56	88 	37 	4  	100   	5.73292
89 	100   	2703.87    	89 	258315     	7.93394	100   	25704.1    	25.88	89 	38 	9  	100   	5.01055
90 	100   	123276     	90 	1.23229e+07	7.93394	100   	1.22611e+06	26.34	90 	36 	11 	100   	4.80462
91 	100   	51.9253    	91 	621.164    	7.93394	100   	99.183     	26.07	91 	41 	7  	100   	5.1347 
92 	100   	39.7437    	92 	457.363    	7.88063	100   	63.4419    	25.99	92 	36 	10 	100   	4.79895
93 	100   	41.0001    	93 	443.436    	7.88063	100   	74.5629    	25.75	93 	37 	7  	100   	5.23713
94 	100   	30.5895    	94 	365.472    	7.88063	100   	46.5598    	25.69	94 	36 	7  	100   	5.62618
95 	100   	44.5035    	95 	486.211    	7.88063	100   	82.1783    	26.01	95 	36 	11 	100   	5.23162
96 	100   	59.4353    	96 	1401.17    	7.8592 	100   	154.017    	25.37	96 	43 	1  	100   	6.25565
97 	100   	45.2314    	97 	1488.18    	7.8592 	100   	150.463    	26.31	97 	38 	13 	100   	5.36972
98 	100   	9488.86    	98 	943077     	7.8592 	100   	93829.2    	26.22	98 	36 	9  	100   	5.36205
99 	100   	45.5128    	99 	497.105    	7.8592 	100   	88.5175    	25.95	99 	36 	11 	100   	5.49614
100	100   	32.2144    	100	139.465    	7.8592 	100   	41.4448    	25.96	100	36 	1  	100   	5.41465
False
False
768
9
   	      	                              fitness                              	                      size                     
   	      	-------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg        	gen	max        	min    	nevals	std        	avg 	gen	max	min	nevals	std    
0  	100   	2.69205e+15	0  	1.64243e+17	12.1362	100   	1.93049e+16	4.43	0  	13 	2  	100   	2.38434
1  	100   	7.68786e+33	1  	7.68786e+35	12.1362	100   	7.64933e+34	4.79	1  	13 	1  	100   	2.31212
2  	100   	538398     	2  	5.37821e+07	12.1362	100   	5.3512e+06 	5.67	2  	22 	1  	100   	3.12107
3  	100   	4893.28    	3  	407383     	12.1362	100   	40738.3    	5.85	3  	22 	1  	100   	3.43038
4  	100   	3518.77    	4  	286140     	12.1362	100   	28674.1    	6.25	4  	25 	1  	100   	3.76928
5  	100   	1323.8     	5  	74144.3    	12.1362	100   	8197.14    	6.14	5  	22 	1  	100   	3.14013
6  	100   	1.00912e+12	6  	1.00902e+14	10.5942	100   	1.00396e+13	6.58	6  	22 	1  	100   	2.99727
7  	100   	135167     	7  	7.4295e+06 	7.85933	100   	836746     	7.07	7  	25 	1  	100   	3.24424
8  	100   	1.18441e+06	8  	4.55698e+07	7.85933	100   	6.18554e+06	7.41	8  	25 	1  	100   	3.18149
9  	100   	1.59266e+29	9  	1.59266e+31	7.85933	100   	1.58468e+30	6.95	9  	22 	1  	100   	2.97447
10 	100   	3.18532e+29	10 	3.18532e+31	4.5595 	100   	3.16935e+30	6.57	10 	22 	1  	100   	2.8116 
11 	100   	1.59266e+29	11 	1.59266e+31	4.5595 	100   	1.58468e+30	7.04	11 	22 	2  	100   	2.67925
12 	100   	148661     	12 	1.4859e+07 	4.5595 	100   	1.47844e+06	7.34	12 	25 	1  	100   	3.40652
13 	100   	5.57431e+29	13 	2.38899e+31	4.5595 	100   	3.23569e+30	6.87	13 	15 	2  	100   	2.19388
14 	100   	5.3578e+30 	14 	5.3578e+32 	4.5595 	100   	5.33094e+31	6.99	14 	19 	1  	100   	2.45965
15 	100   	1.59266e+29	15 	1.59266e+31	4.5595 	100   	1.58468e+30	7.27	15 	19 	1  	100   	2.48538
16 	100   	158098     	16 	1.575e+07  	4.5595 	100   	1.56705e+06	6.95	16 	19 	1  	100   	2.10891
17 	100   	2.29664e+40	17 	2.29664e+42	4.41911	100   	2.28513e+41	7.11	17 	13 	1  	100   	1.95906
18 	100   	2.81338e+15	18 	2.81338e+17	4.34256	100   	2.79928e+16	7.56	18 	17 	2  	100   	2.32946
19 	100   	1.59266e+29	19 	1.59266e+31	4.34256	100   	1.58468e+30	8.33	19 	17 	1  	100   	2.47812
20 	100   	3.18532e+29	20 	1.59266e+31	4.34141	100   	2.22972e+30	8.6 	20 	17 	3  	100   	2.70185
21 	100   	472523     	21 	1.575e+07  	4.34141	100   	2.68674e+06	9.06	21 	17 	1  	100   	2.91143
22 	100   	3.18532e+29	22 	1.59266e+31	4.34141	100   	2.22972e+30	9.69	22 	19 	3  	100   	3.32775
23 	100   	1.59266e+29	23 	1.59266e+31	4.34141	100   	1.58468e+30	9.92	23 	19 	4  	100   	2.86594
24 	100   	1.38931e+11	24 	1.38931e+13	4.34141	100   	1.38234e+12	10.89	24 	17 	3  	100   	2.90136
25 	100   	5.12952e+08	25 	5.06039e+10	4.34141	100   	5.0348e+09 	12.1 	25 	16 	5  	100   	2.66646
26 	100   	11737.7    	26 	956802     	4.34141	100   	95358.9    	12.49	26 	20 	5  	100   	3.01826
27 	100   	5.31552e+06	27 	5.31351e+08	4.34141	100   	5.28686e+07	12.45	27 	17 	3  	100   	2.80491
28 	100   	217832     	28 	1.575e+07  	4.30586	100   	1.66578e+06	12.94	28 	20 	1  	100   	3.09458
29 	100   	738165     	29 	7.32358e+07	4.30586	100   	7.28642e+06	13.06	29 	20 	7  	100   	2.39925
30 	100   	752756     	30 	7.32358e+07	4.30586	100   	7.28747e+06	12.92	30 	19 	1  	100   	2.99226
31 	100   	11916.7    	31 	947386     	4.30586	100   	94412      	12.99	31 	18 	5  	100   	2.39789
32 	100   	5.06041e+08	32 	5.06039e+10	4.30562	100   	5.03503e+09	12.83	32 	21 	3  	100   	2.77148
33 	100   	1.17997e+08	33 	1.17779e+10	4.30562	100   	1.17186e+09	13.64	33 	21 	2  	100   	2.28701
34 	100   	6.80973e+06	34 	6.80265e+08	4.2897 	100   	6.76849e+07	13.14	34 	17 	5  	100   	2.00509
35 	100   	1176.14    	35 	35672.9    	4.2897 	100   	6075.84    	13.39	35 	20 	4  	100   	2.14893
36 	100   	2.81338e+15	36 	2.81338e+17	4.2897 	100   	2.79928e+16	13.56	36 	25 	5  	100   	2.15555
37 	100   	4.22525e+08	37 	4.22524e+10	4.2897 	100   	4.20406e+09	13.71	37 	25 	7  	100   	2.03615
38 	100   	3.27634e+10	38 	3.27634e+12	4.2897 	100   	3.25992e+11	13.78	38 	21 	3  	100   	1.89515
39 	100   	898.702    	39 	35672.7    	4.2897 	100   	5053.39    	13.71	39 	21 	3  	100   	2.06541
40 	100   	3572.45    	40 	229755     	4.2897 	100   	23552.4    	13.41	40 	18 	1  	100   	2.28515
41 	100   	13981.4    	41 	947415     	4.2897 	100   	96877.7    	13.66	41 	18 	5  	100   	1.68653
42 	100   	2.81338e+15	42 	2.81338e+17	4.27033	100   	2.79928e+16	13.87	42 	21 	2  	100   	2.53241
43 	100   	959287     	43 	7.32358e+07	4.26694	100   	7.58488e+06	13.85	43 	24 	1  	100   	2.92703
44 	100   	2450.48    	44 	229756     	4.22849	100   	22874.5    	14.72	44 	27 	10 	100   	2.91918
45 	100   	8.03986e+12	45 	8.03986e+14	4.21966	100   	7.99956e+13	16.64	45 	31 	10 	100   	5.58663
46 	100   	889294     	46 	7.32358e+07	4.21966	100   	7.4226e+06 	17.62	46 	32 	12 	100   	5.8835 
47 	100   	8.64264e+10	47 	8.64264e+12	4.21966	100   	8.59932e+11	18.87	47 	32 	1  	100   	6.59645
